카테고리	키워드	분류	키워드	분류	키워드	분류	키워드	분류	키워드		A = antonym	E = equal	S = sub keyword	R = related	N = disable	@ = 출력키워드	NE = 검토중인 E	NS = 검토중인 S	NR = 검토중인 R						
				S	우주대마왕																				
				S	@우주전쟁																				
				A	우주평화																				
		S	@우주평화																						
		S	@외계인	E	우주생물																				
				E	외계생명체																				
				E	외계족																				
				S	@UFO																				
				S	이티																				
		S	행성	S	소행성																				
				S	미행성																				
				S	외계행성																				
				S	목성																				
				N	화성																				
		S	은하계																						
		S	대우주																						
		S	소우주																						
	@지구	S	@지구정복	S	지구침공	E	지구침략																		
						E	외계인침공																		
				A	@지구평화	S	지구수호																		
						S	지구방위대																		
	@가상현실	S	가상미래																						
		S	가상공간																						
		S	가상도시																						
	@사막	S	모하비사막																						
		S	중동사막																						
		S	고비사막																						
	숲	S	숲속																						
	@바다	S	해변	E	바닷가																				
		S	해수욕장	S	동해해수욕장																				
		S	바다속	E	바다밑																				
		S	바다여행																						
	@정글	E	밀림																						
	@천국	A	지옥																						
	@지옥																								
	@이승	A	저승																						
	@저승																								
	@청와대																								
	@백악관																								
	학교	N	초등학교	S	초등학교교사	E	초등학교선생																		
				N	초등학생	E	초딩																		
		N	중학교	S	@중학생																				
		N	고등학교	S	예술고등학교																				
				S	미국고등학교																				
				S	@여고	S	@여고생																		
				S	@고등학생	E	고교생																		
						S	@여고생																		
				S	고교교사																				
		S	@대학교	E	대학																				
				S	대학교수																				
				S	대학강사																				
				S	@대학생	S	@신입생	E	대학신입생																
						S	@여대생																		
						S	@복학생																		
				S	대학원생																				
		N	선생님	E	선생																				
				E	교사																				
				S	@과외선생	E	과외선생님																		
				S	@불량선생																				
				S	총각선생																				
				S	@여선생	E	여교사																		
				S	음악선생	E	음악교사																		
				S	양호선생	E	양호교사																		
				S	교생																				
		N	교수	S	@여교수																				
		N	학생	S	여학생																				
				S	장학생																				
				S	@불량학생	E	불량청소년																		
						E	문제아																		
						S	학교짱	E	일진																
						R	퇴학																		
				N	초등학생																				
				S	@중학생																				
				S	@고등학생																				
				S	@대학생	S	@여대생																		
				S	@신입생																				
				S	@복학생																				
		S	@퇴학																						
		S	@방학	S	봄방학																				
				S	여름방학																				
				S	겨울방학																				
		S	@졸업	E	졸업식																				
		S	전학	S	전학생																				
		S	@사제지간	S	스승																				
				S	제자																				
	@병원	S	@의사	S	치과의사																				
				S	외과의사																				
				S	소아과 의사																				
				S	산부인과의사																				
				S	여의사																				
				S	한의사																				
				S	@수의사																				
				S	정신과의사																				
				S	수의사																				
				S	성형외과의사																				
				S	장의사																				
		S	간호사	S	간호원																				
		S	@환자	S	중환자																				
				S	정신질환자																				
				S	암환자																				
		S	수술	S	이식수술	S	신장이식수술																		
						S	장기이식																		
						S	골수이식																		
						S	심장이식																		
						N	이식																		
				S	심장수술																				
				S	뇌수술																				
				S	성형수술																				
				S	성전환수술																				
				S	시력회복수술																				
		S	수술실																						
		S	진료																						
	@법정	S	@판사																						
		S	@변호사	S	변호인																				
				S	여변호사																				
				S	국선변호사	R	국선변호																		
		N	검사																						
		S	배심원																						
		S	피고인																						
		N	원고																						
		S	재판	S	재판관																				
				S	재판부																				
				S	재판장																				
		S	사형선고	S	사형수																				
		S	대법원																						
	@시골	E	시골마을																						
		S	농촌																						
		S	어촌																						
		S	시골병원																						
		S	시골분교																						
		S	시골청년																						
		S	@시골소년																						
		S	@시골소녀																						
	회사	E	직장																						
		S	@광고회사																						
		S	벤처회사																						
		S	@보험회사	S	보험회사직원	S	@보험설계사	S	보험판매원																
								S	보험맨																
								S	보험왕																
						S	보험조사원																		
		S	@증권회사																						
		S	@샐러리맨	E	회사원																				
				E	직장인																				
				S	회사동료	E	직장동료																		
				S	직장상사																				
				N	비서	E	여비서																		
				S	@커리어우먼																				
		S	승진																						
		S	@실직	E	실업																				
				S	@해고	S	구조조정	S	부당해고																
								S	정리해고																
								S	강제해고																
								S	권고사직																
		S	@퇴직	S	정년퇴직	E	정년퇴임																		
				S	명예퇴직																				
				R	해고																				
	@군대	S	@군대생활	E	군생활																				
				E	군대문화																				
				S	@군입대																				
				S	@군제대																				
				S	첫휴가																				
				S	군대폭행																				
		S	@탈영	S	탈영병																				
		S	@군인	S	군대상사																				
				S	군대선임																				
				S	군대후임																				
				S	이등병																				
				S	장교																				
				S	@퇴역군인																				
		S	육군																						
		S	@해군																						
		S	@공군	S	@파일럿	S	공군조종사																		
		S	@해병대	E	해병																				
		S	징병기피																						
		S	병역거부																						
		S	군부대	S	@특수부대																				
				N	외인부대																				
				N	부대원																				
				N	부대장																				
	@감옥	S	교도소	S	교도관																				
				S	죄수																				
		S	수용소																						
		S	@소년원																						
		S	감옥생활	E	감옥살이																				
		S	지하감옥																						
		S	출옥	E	출소																				
		S	@탈옥	S	탈옥수	E	탈옥범																		
	@증권가	S	@증권회사																						
		R	주식																						
	@방송국																								
	@연예계	R	톱스타	N	배우																				
				N	여배우																				
				N	아이돌																				
				N	개그맨	N	코메디언																		
		N	찌라시																						
	왕국	S	@황제	N	왕																				
		S	@여왕																						
		S	@왕비	E	왕후																				
		S	@공주																						
		S	@왕자																						
		S	@왕권	E	왕위																				
				S	왕위계승																				
	@무인도																								
	@공항																								
	@소인국																								
	@거인국	S	@거인	E	거인족																				
	@박물관																								
	@카지노																								
소재>상황/사건																									
	@복수	E	보복																						
		E	복수극																						
		S	보복수사																						
		S	보복살인	E	복수살인																				
		S	복수계획																						
		R	원수	S	부모의원수																				
	@살인	E	살해																						
		E	살인사건																						
		E	살해사건																						
		S	복수살인																						
		S	@연쇄살인	S	화성연쇄살인사건	E	화성살인																		
				S	의문연쇄살인																				
				S	연쇄살인범	E	연쇄살인마	N	용의자																
		S	@청부살인	E	청부살해																				
				E	살인청부																				
				S	살인청부업자																				
				S	청부살인업																				
		S	@치정살인																						
		S	모방살인																						
		S	토막살인																						
		S	집단살인	R	대량학살																				
		S	엽기살인																						
		S	@충동살인	E	우발적살인																				
		S	@계획살인	E	살인공모																				
				E	살해계획																				
				E	살인계획																				
		S	위장살인																						
		S	@살인누명	S	@살해혐의																				
		S	살인미수																						
		S	살인용의자																						
		S	살인자	E	살인범																				
				E	살해범																				
		S	@살인마	E	살인광																				
				S	연쇄살인마																				
				S	천재살인마																				
				N	킬러																				
	@대량학살	E	대학살																						
		S	난징대학살																						
		S	학살																						
	@광기	S	@사이코패스	E	싸이코패스																				
	@납치	E	납치극	S	납치범																				
		S	신부납치																						
		S	@유괴	E	유괴사건																				
				N	납치																				
		S	@인신매매	S	인신매매범	E	인신매매단																		
				N	장기매매	N	장기밀매																		
	@인질극	S	@인질	E	포로																				
				N	인질극																				
		S	인질범																						
	@감금																								
	@고문	S	전기고문																						
		S	고문기술자																						
		S	고문전문가																						
		R	고문관																						
	@학대	S	아동학대																						
		S	동물학대																						
		N	가혹																						
	@싸움	S	@패싸움																						
		S	@부부싸움																						
		S	@결투																						
		S	@대결																						
	@파멸																								
	@저주																								
	@폭로	E	폭로전																						
	@위장	S	신분위장																						
		S	위장잠입																						
		S	위장이혼																						
		S	위장살인																						
		S	@위장결혼																						
		S	위장가족																						
		S	위장간첩																						
		S	위장경찰																						
		S	@변장																						
		R	이중생활																						
